TerraIndigena,Legal stability,Environmental integrity,Environmental integrity in the buffer zone,Territorial integrity,Absence of threats due to infrastructure projects,Absence of pressure from infrastructure projects,Governance,lat,long,population,area
Pirahã,1,0.96,0.84,1,0.83,0.78,1,-6.99696,-62.04756,592,346910
Pirineus de Souza,1,0.91,0.66,0.78,0.44,0.78,1,-12.75043,-59.9275,278,28212
Pium,0.8,0.86,0.76,0.72,0.83,0.78,0.64,3.39584,-61.10836,325,4607
Ponciano,0.5,0.76,0.55,1,1,0.78,0.1,-3.51599,-59.46294,225,4329
Ponta da Serra,0.8,0.97,0.78,0.78,0.61,0.78,0.63,3.60787,-60.87168,315,15597
Ponte de Pedra,0.25,0.97,0.54,0.5,0.61,0.61,0.1,-13.57161,-57.35773,427,17000
Porquinhos,1,0.84,0.78,0.78,0.83,0.83,1,-6.09084,-45.64566,677,79520
Porquinhos dos Canela-Apãnjekra (reestudo),0.25,0.83,0.87,0.72,0.83,0.83,0.5,-6.32737,-45.56863,569,221480
Portal do Encantado,0.45,0.68,0.59,0.72,1,0.78,0.53,-16.15326,-59.48375,1046,43057
Porto Limoeiro,1,1,0.91,1,1,0.61,0.1,-3.06175,-68.94341,31,4587
Porto Praia,1,1,0.69,0.89,1,0.78,0.4,-2.89452,-65.12081,420,4769
Poyanawa,1,0.91,0.77,0.51,0.61,0.61,0.98,-7.52417,-73.07676,745,24499
Prosperidade,1,1,0.98,1,1,1,0.1,-2.68307,-67.48137,156,5572
Raimundão,1,0.73,0.59,0.78,0.78,0.56,0.65,2.88407,-61.31985,385,4276
Raposa Serra do Sol,0.8,0.88,0.77,1,0.83,0.67,0.9,4.19153,-60.30151,26048,1747464
Recreio/São Félix,1,0.25,0.54,1,1,0.78,0.5,-3.54691,-59.1994,172,251
Rio Apapóris,1,0.99,1,1,1,0.78,1,-1.11246,-69.2427,349,106960
Rio Biá,1,1,0.79,0.46,0.78,0.61,0.65,-4.94811,-67.76097,488,1185790
Rio Branco,1,0.93,0.59,0.5,0.67,0.78,0.63,-12.15643,-62.64378,679,236137
Rio Formoso,1,0.96,0.6,0.72,0.44,0.61,0.2,-14.50657,-58.08231,166,19749
Rio Gregório,0.4,0.96,0.85,0.78,0.83,0.89,0.9,-8.36152,-71.77664,560,187400
Rio Guaporé,1,0.94,0.8,0.82,0.83,1,1,-11.96304,-64.71042,911,115788
Rio Jumas,1,0.94,0.84,1,0.83,0.78,0.1,-3.84999,-59.88695,211,9482
Rio Manicoré,1,0.94,0.88,1,0.83,0.83,0.5,-6.17114,-61.52683,221,19481
Rio Mequéns,1,0.97,0.61,0.49,0.83,0.78,0.63,-12.63183,-61.73257,95,107553
Rio Negro Ocaia (reestudo),0.45,0.99,0.87,0.72,1,0.78,0.5,-11.08635,-64.89783,51,131006
Rio Negro/Ocaia,1,0.97,0.67,1,1,0.78,1,-11.06091,-64.60437,764,104064
Rio Omerê,0.8,0.88,0.45,0.5,0.67,0.61,0.1,-12.82406,-61.09643,6,26177
Rio Paru d'Este,1,0.98,1,0.78,0.78,0.39,1,0.51305,-54.56025,392,1195790
Rio Pindaré,1,0.32,0.14,0.33,0.5,0.78,0.4,-3.6333,-45.51533,1789,15002
Rio Tea,1,0.93,0.83,0.93,1,0.78,1,-0.58213,-66.15619,323,411865
Rio Urubu,1,0.85,0.65,0.89,1,0.72,0.5,-3.13314,-58.93461,378,27354
